Groom_ID,Income,Land,EmploymentType,Profession,Dahej
G0620,21217,1.5,Government,Other,717038
G0621,34760,4.27,Private,Businessman,1201600
G0622,146856,8.6,Private,CA,3666843
G0623,51312,0.66,Government,Teacher,903168
G0624,128262,8.22,Government,Engineer,4682592
G0625,90653,7.37,Private,Businessman,2380530
G0626,50989,1.43,Government,Businessman,1114246
G0627,121693,3.47,Government,Teacher,2675302
G0628,120758,5.08,Government,Teacher,3113012
G0629,26308,0.42,Government,CA,537973
G0630,51354,1.26,Government,Businessman,1071756
G0631,149773,0.38,Government,Teacher,2203222
G0632,53666,8.79,Government,Other,3212524
G0633,129861,1.42,Private,Engineer,1899132
G0634,45258,9.43,Private,Doctor,3040154
G0635,134152,7.94,Private,Lawyer,3222472
G0636,46447,0.65,Government,Businessman,832258
G0637,139273,1.31,Government,Businessman,2316622
G0638,111864,2.49,Government,Other,2263296
G0639,144569,6.45,Government,CA,4240319
G0640,43350,5.37,Government,Other,2110500
G0641,28676,8.14,Private,Doctor,2489188
G0642,44188,1.77,Private,Lawyer,875468
G0643,62023,2.87,Government,Other,1671922
G0644,68567,2.31,Government,Doctor,1951039
G0645,93378,9.26,Private,Engineer,3342936
G0646,84999,7.81,Private,Teacher,2411990
G0647,94247,2.06,Private,Other,1354470
G0648,42854,0.75,Private,Other,578540
G0649,84137,3.92,Private,Lawyer,1787907
G0650,134961,3.58,Private,CA,2375451
G0651,71041,1.66,Private,Lawyer,1146651
G0652,140681,2.97,Government,Doctor,3401377
G0653,47627,0.29,Government,Businessman,747978
G0654,28197,6.68,Government,CA,2507853
G0655,34363,5.5,Private,Doctor,1876719
G0656,75661,1.79,Government,Teacher,1560454
G0657,48446,2.89,Government,Teacher,1487444
G0658,126146,9.45,Private,CA,3624178
G0659,84230,5.73,Government,Teacher,2783620
G0660,129114,3.24,Private,Doctor,2520882
G0661,118451,6.8,Private,Businessman,2544510
G0662,104408,4.83,Private,CA,2311592
G0663,80544,4.69,Government,Other,2440816
G0664,92884,4.21,Private,Businessman,1770840
G0665,52117,9.47,Government,Engineer,3864271
G0666,60666,7.04,Government,CA,3122722
G0667,93993,7.6,Government,Doctor,4181881
G0668,103508,0.89,Private,Doctor,1577004
G0669,92324,6.07,Private,Engineer,2564688
G0670,97641,5.22,Government,Doctor,3434697
G0671,70911,7.37,Government,Engineer,3492975
G0672,101694,4.43,Government,Doctor,3234998
G0673,26664,2.2,Government,CA,1095291
G0674,88798,4.76,Private,Lawyer,2023978
G0675,95996,2.02,Private,Other,1363960
G0676,146302,5.51,Private,Other,2565020
G0677,138975,7.05,Government,Teacher,3919649
G0678,97217,2.67,Government,Engineer,2409872
G0679,85918,7.11,Government,Teacher,3193652
G0680,72134,6.51,Private,Other,2023340
G0681,34607,1.76,Private,Doctor,907491
G0682,115473,3.38,Private,Businessman,1830730
G0683,78829,0.85,Private,Engineer,1149948
G0684,34597,7.33,Private,CA,2083765
G0685,85275,8.3,Private,Engineer,3015300
G0686,72753,4.32,Private,Other,1591530
G0687,34835,8.62,Government,Lawyer,3108524
G0688,122843,0.28,Government,Teacher,1798202
G0689,139787,9.04,Government,CA,4969098
G0690,133535,7.86,Government,Other,4070289
G0691,89718,2.2,Government,Engineer,2139488
G0692,23514,5.96,Private,CA,1641210
G0693,132787,0.93,Government,CA,2346498
G0694,29835,8.13,Private,Teacher,1924350
G0695,37037,6.69,Private,Lawyer,1879207
G0696,148835,2.16,Private,Teacher,1920350
G0697,42874,2.54,Private,Teacher,936740
G0698,37427,2.64,Private,Doctor,1172951
G0699,35662,6.39,Government,Teacher,2288468
G0700,125828,8.55,Government,Other,4155591
G0701,28959,0.43,Private,Lawyer,413149
G0702,29237,4.54,Private,Teacher,1200370
G0703,116623,3.75,Private,Businessman,1916230
G0704,118154,5.05,Private,CA,2520271
G0705,64168,9.18,Private,Other,2477680
G0706,90931,9.01,Government,Engineer,4338096
G0707,135341,2.59,Government,CA,2900685
G0708,39065,8.13,Private,Other,2016650
G0709,90823,7.79,Private,Lawyer,2712853
G0710,39533,3.91,Private,Engineer,1412796
G0711,145059,6.79,Private,Lawyer,3089449
G0712,20351,3.15,Government,Teacher,1166914
G0713,29512,8.2,Government,Teacher,2709167
G0714,39972,0.28,Government,Engineer,729151
G0715,71541,4.48,Private,Doctor,2094833
G0716,88784,5.2,Government,Doctor,3277328
G0717,114344,1.76,Government,Engineer,2392704
G0718,138879,9.26,Private,Teacher,3240790
G0719,85952,3.84,Private,Teacher,1627520
G0720,131300,6.96,Government,Businessman,3786999
G0721,92403,4.2,Private,Teacher,1764030
G0722,70926,3.04,Government,CA,2041752
G0723,47448,8.37,Private,Businessman,2148480
G0724,148815,3.17,Government,CA,3289332
G0725,39212,4.23,Private,Other,1238120
G0726,83078,5.99,Private,Doctor,2637414
G0727,102736,6.97,Private,Businessman,2421360
G0728,40870,3.0,Private,CA,1160005
G0729,108871,7.83,Government,Teacher,3716593
G0730,104770,1.77,Government,Lawyer,2102550
G0731,124775,5.28,Private,CA,2649312
G0732,31498,5.12,Government,Lawyer,2008470
G0733,137909,4.23,Government,Doctor,3782653
G0734,33472,7.3,Private,Businessman,1794720
G0735,102973,6.17,Private,Doctor,2942849
G0736,134842,6.73,Private,Teacher,2694420
G0737,101555,6.91,Government,Lawyer,3596325
G0738,130580,9.65,Government,Doctor,5500860
G0739,23472,9.4,Private,Engineer,2537664
G0740,102626,9.95,Government,CA,4675202
G0741,62817,4.11,Private,CA,1667695
G0742,115658,5.93,Private,Lawyer,2576838
G0743,93793,2.06,Government,Other,1889901
G0744,71958,3.3,Government,Doctor,2345286
G0745,94323,2.73,Government,Engineer,2382768
G0746,71366,6.51,Government,Doctor,3426622
G0747,103357,5.26,Private,Doctor,2711241
G0748,25698,1.88,Government,Other,886172
G0749,74009,0.94,Private,Businessman,928090
G0750,96026,2.72,Government,CA,2331602
G0751,74919,9.66,Private,Engineer,3217428
G0752,30515,5.52,Government,Businessman,1972809
G0753,97605,4.03,Government,Doctor,3029485
G0754,99611,6.32,Private,Other,2260110
G0755,33056,2.47,Private,Engineer,989472
G0756,140456,1.67,Government,Engineer,2781696
G0757,149737,1.75,Government,Doctor,3140529
G0758,96698,0.28,Private,Engineer,1227576
G0759,107294,2.39,Private,Teacher,1550940
G0760,63591,2.16,Government,Teacher,1495074
G0761,32059,1.17,Private,CA,637778
G0762,26718,6.52,Government,Engineer,2513888
G0763,127222,2.83,Private,Other,1838220
G0764,119751,3.69,Government,Businessman,2709714
G0765,60040,2.18,Private,Doctor,1347320
G0766,146528,2.27,Government,Other,2686992
G0767,75934,3.71,Government,Teacher,2101876
G0768,74287,6.16,Government,Doctor,3357279
G0769,21871,8.89,Government,Lawyer,2995065
G0770,141130,8.29,Government,Doctor,5217810
G0771,25470,2.08,Private,Other,670700
G0772,53899,3.6,Government,Engineer,2014383
G0773,139643,0.93,Government,Doctor,2690131
G0774,145947,8.0,Private,Teacher,3059470
G0775,147167,9.73,Government,Teacher,4784738
G0776,115876,5.07,Government,Businessman,3041864
G0777,114056,7.87,Private,Doctor,3528928
G0778,117059,5.46,Government,Engineer,3620143
G0779,131253,8.89,Private,Engineer,3708636
G0780,84093,9.22,Private,Lawyer,2953423
G0781,61918,2.11,Government,CA,1613828
G0782,115654,6.7,Private,Engineer,2995848
G0783,42351,3.41,Government,Lawyer,1658265
G0784,90456,3.85,Government,Teacher,2344384
G0785,20664,9.43,Government,Doctor,3557488
G0786,21707,3.9,Government,CA,1545458
G0787,69177,2.11,Private,Teacher,1113770
G0788,92596,4.92,Private,Engineer,2291952
G0789,107360,1.06,Private,Lawyer,1414160
G0790,103012,1.18,Private,Businessman,1266120
G0791,133602,0.38,Private,Doctor,1835626
G0792,99687,7.82,Government,Businessman,3585218
G0793,41655,0.9,Government,Engineer,954479
G0794,105059,0.47,Private,Lawyer,1259049
G0795,101666,4.86,Government,Other,2784124
G0796,31206,9.88,Private,Businessman,2288060
G0797,81379,7.97,Private,Businessman,2407790
G0798,56299,0.56,Government,Doctor,1147483
G0799,64759,7.81,Government,Lawyer,3314385
G0800,114700,8.0,Private,Other,2747000
G0801,59104,7.79,Government,CA,3331011
G0802,117840,4.29,Private,Businessman,2036400
G0803,70633,4.66,Private,Lawyer,1802163
G0804,98887,1.11,Private,Doctor,1574131
G0805,130433,9.59,Private,Doctor,4189029
G0806,49589,1.69,Private,Doctor,1084057
G0807,56441,2.0,Government,Teacher,1350174
G0808,59656,4.01,Private,CA,1608343
G0809,71785,6.83,Government,Businessman,2917390
G0810,68032,5.86,Private,Businessman,1852320
G0811,130162,9.89,Government,CA,5083410
G0812,35576,8.7,Private,Other,2095759
G0813,54476,7.38,Private,CA,2323874
G0814,88288,4.05,Private,Engineer,2031456
G0815,73651,2.39,Government,Doctor,2064667
G0816,22683,5.26,Government,CA,1982186
G0817,143633,0.05,Government,Lawyer,2169495
G0818,133033,7.31,Government,Doctor,4746961
G0819,145239,6.26,Private,Engineer,3245268
G0820,25590,3.36,Government,Engineer,1484639
G0821,25790,6.41,Government,Lawyer,2309850
G0822,32398,9.68,Private,Teacher,2259980
G0823,25360,9.71,Government,Businessman,3073840
G0824,78157,2.45,Government,Teacher,1780198
G0825,24775,9.51,Government,CA,3332112
G0826,68082,2.4,Private,CA,1334943
G0827,81098,4.07,Government,Engineer,2599968
G0828,38987,0.2,Government,Engineer,687792
G0829,146616,9.16,Government,Engineer,5277056
G0830,89657,2.72,Private,Lawyer,1584627
G0831,26287,3.6,Private,CA,1130300
G0832,121378,2.23,Private,Other,1659780
G0833,48590,2.9,Private,Engineer,1279080
G0834,145186,1.59,Private,Businessman,1769860
G0835,52030,9.07,Private,Lawyer,2567730
G0836,127636,6.24,Private,Lawyer,2776796
G0837,119880,6.44,Government,Other,3481520
G0838,106484,8.93,Government,Doctor,4846428
G0839,129296,8.05,Private,Other,2902960
G0840,54090,2.34,Private,CA,1160235
G0841,47277,8.76,Government,Engineer,3559631
G0842,54891,1.15,Government,Lawyer,1168365
G0843,137573,4.54,Private,Other,2283730
G0844,42678,1.5,Private,CA,835796
G0845,119079,9.73,Private,Teacher,3136790
G0846,55408,0.43,Private,Lawyer,704088
G0847,54388,2.93,Government,Doctor,1920796
G0848,26926,1.62,Government,Other,830564
G0849,92631,5.44,Government,Teacher,2820034
G0850,147835,5.54,Private,Other,2586350
G0851,58313,0.06,Private,Teacher,595130
G0852,103533,6.65,Private,CA,2720129
G0853,49472,4.86,Private,Other,1466720
G0854,81740,3.44,Private,Engineer,1806480
G0855,94846,7.18,Government,CA,3695912
G0856,34340,0.25,Government,Doctor,668780
G0857,109012,7.46,Private,Other,2582120
G0858,121752,0.73,Private,Lawyer,1499872
G0859,99903,4.97,Government,Doctor,3388151
G0860,100691,4.53,Government,Doctor,3251947
G0861,122034,5.12,Government,Doctor,3815378
G0862,56982,8.82,Government,CA,3617420
G0863,132808,8.88,Government,Other,4345712
G0864,145784,0.95,Government,Other,2306976
G0865,32105,5.75,Private,Other,1471050
G0866,84408,2.87,Private,Other,1418080
G0867,83188,9.59,Private,Teacher,2749880
G0868,108526,3.95,Private,Teacher,1875260
G0869,138026,5.49,Private,CA,2849999
G0870,38661,1.08,Government,Engineer,964175
G0871,25811,8.21,Government,Lawyer,2850165
G0872,109021,3.51,Government,Doctor,3046757
G0873,126279,9.24,Government,Teacher,4355106
G0874,133105,4.62,Government,CA,3495327
G0875,57806,4.64,Private,CA,1731968
G0876,65686,7.28,Private,Doctor,2746718
G0877,52509,0.41,Private,Businessman,607090
G0878,148162,6.16,Private,Businessman,2713620
G0879,102351,2.78,Private,CA,1816436
G0880,87791,8.77,Government,CA,4079460
G0881,118548,0.28,Government,Teacher,1738072
G0882,40066,7.2,Private,Other,1840660
G0883,145245,9.62,Government,CA,5233497
G0884,20245,1.09,Private,Other,420450
G0885,23022,9.67,Private,Teacher,2164220
G0886,41918,6.72,Private,Doctor,2292134
G0887,73864,7.98,Government,Engineer,3735423
G0888,134960,1.74,Government,Other,2376640
G0889,116786,5.46,Private,Engineer,2711832
G0890,23814,6.02,Government,Businessman,2018995
G0891,66933,6.75,Government,Lawyer,3028995
G0892,130992,6.51,Private,Lawyer,2873112
G0893,87224,1.09,Private,CA,1253776
G0894,31278,2.92,Government,Teacher,1255492
G0895,146182,8.61,Government,CA,4934920
G0896,53108,7.05,Government,Engineer,3105727
G0897,124190,1.67,Government,CA,2442644
G0898,132905,3.23,Private,Businessman,1975050
G0899,87656,3.51,Private,Engineer,1894272
G0900,148019,5.12,Government,Other,3505866
G0901,113077,4.1,Private,Doctor,2536001
G0902,74083,3.3,Government,CA,2171286
G0903,66574,3.39,Private,Teacher,1343740
G0904,95457,8.93,Government,Doctor,4658969
G0905,147295,2.26,Private,Engineer,2309940
G0906,118000,7.54,Government,Teacher,3763199
G0907,73727,8.41,Government,Doctor,4112759
G0908,37337,0.44,Private,CA,530575
G0909,112182,0.33,Government,Other,1662948
G0910,79526,2.66,Private,Businessman,1327260
G0911,126758,1.92,Private,Businessman,1651580
G0912,72810,7.0,Private,Engineer,2553720
G0913,74959,0.86,Private,CA,1059828
G0914,93965,7.05,Private,Other,2349650
G0915,75448,8.18,Government,Other,3346672
G0916,118875,9.23,Private,Lawyer,3338225
G0917,129198,2.0,Government,Lawyer,2537970
G0918,133697,3.24,Private,Lawyer,2183467
G0919,51807,9.03,Private,Lawyer,2556477
G0920,33521,1.96,Government,Doctor,1236257
G0921,95849,0.01,Private,CA,1104563
G0922,91650,8.48,Private,Engineer,3135000
G0923,107173,5.5,Government,Teacher,3040422
G0924,111541,7.69,Government,CA,4112785
G0925,83998,5.3,Private,Doctor,2469974
G0926,51487,7.36,Private,Teacher,1986870
G0927,102296,9.48,Government,Engineer,4670336
G0928,103271,5.52,Government,Businessman,2991394
G0929,70356,8.33,Private,Other,2369560
G0930,141947,8.41,Government,Doctor,5272499
G0931,102250,8.97,Private,Lawyer,3098150
G0932,97038,6.48,Private,Lawyer,2493018
G0933,95204,6.13,Government,Teacher,3049256
G0934,63275,9.72,Private,Teacher,2576750
G0935,20648,2.72,Government,Teacher,1050672
G0936,36361,6.34,Government,Businessman,2284254
G0937,125147,5.24,Private,Doctor,2989311
G0938,134422,0.51,Private,Teacher,1446220
G0939,110018,1.96,Government,Lawyer,2238270
G0940,75931,9.41,Private,Businessman,2641310
G0941,118980,6.33,Private,CA,2824170
G0942,106205,1.95,Private,CA,1669857
G0943,24985,2.56,Private,Businessman,761850
G0944,41730,8.33,Private,Other,2083300
G0945,86740,1.76,Private,Lawyer,1341340
G0946,42670,1.17,Government,CA,1024084
G0947,42742,3.96,Private,Doctor,1585246
G0948,41117,5.69,Private,Lawyer,1704087
G0949,92609,0.31,Government,Businessman,1383326
G0950,113871,9.26,Private,Teacher,2990710
G0951,87250,3.21,Private,CA,1741674
G0952,88959,2.59,Government,Other,1970625
G0953,111536,3.94,Private,Other,1903360
G0954,123435,4.97,Government,Doctor,3788195
G0955,132957,1.16,Private,Teacher,1561570
G0956,146814,4.89,Government,Engineer,3913823
G0957,100206,3.81,Government,Other,2469684
G0958,34614,7.7,Private,Businessman,1886140
G0959,98832,1.04,Government,Teacher,1674848
G0960,91811,7.38,Government,Teacher,3351754
G0961,55956,8.17,Government,Businessman,3070984
G0962,79001,7.37,Private,Engineer,2716812
G0963,52357,6.34,Private,CA,2060305
G0964,79732,3.38,Government,Teacher,2062647
G0965,101357,4.08,Private,Engineer,2195484
G0966,93207,4.45,Private,Teacher,1822070
G0967,25449,0.93,Private,CA,506563
G0968,102404,2.33,Government,Teacher,2086055
G0969,103162,7.85,Private,Other,2601620
G0970,141337,0.12,Private,CA,1652975
G0971,83115,1.33,Private,Teacher,1097150
G0972,115869,1.84,Private,Other,1526690
G0973,106598,5.01,Government,Other,2895172
G0974,57685,5.0,Private,Businessman,1576850
G0975,113963,6.52,Government,Businessman,3421082
G0976,113253,3.26,Private,Doctor,2319889
G0977,27107,4.53,Private,Businessman,1177070
G0978,56317,9.99,Government,Other,3585638
G0979,80213,7.2,Government,Other,3138982
G0980,41226,8.28,Government,Other,2895563
G0981,65364,4.94,Private,Teacher,1641640
G0982,21136,8.82,Private,Businessman,1975360
G0983,91955,7.04,Private,Lawyer,2560305
G0984,100451,9.66,Private,Engineer,3523812
G0985,132733,9.96,Private,Businessman,3319330
G0986,42548,7.2,Government,Lawyer,2798220
G0987,129276,0.6,Government,Other,1977863
G0988,90382,3.15,Government,CA,2377420
G0989,48043,5.75,Private,Other,1630430
G0990,109701,5.97,Government,CA,3551065
G0991,104453,0.25,Private,Engineer,1313436
G0992,103617,4.35,Government,Other,2668638
G0993,48247,2.08,Government,CA,1392628
G0994,149554,0.42,Private,Other,1579540
G0995,135640,8.78,Private,Lawyer,3423640
G0996,27557,7.96,Government,Teacher,2614598
G0997,132783,2.04,Government,Lawyer,2603745
G0998,43970,3.95,Government,CA,1906034
G0999,83369,4.12,Private,Engineer,1989228
G1000,135117,7.42,Private,Businessman,2835170
